id,fund_name,Performance fee?,Investment Strategy,Leverage?,Portfolio composition, Concentration,Prediction,supporting evidence,source meta data,Predicted Investment Strategy
0000051931-18-000151,American Funds College 2018 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2018 Fund <head_breaker>

American Funds College 2018 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2018 Fund.txt'},3.0
0000051931-18-000151,American Funds College 2021 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2021 Fund <head_breaker>

American Funds College 2021 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2021 Fund.txt'},3.0
0000051931-18-000151,American Funds College 2024 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2024 Fund <head_breaker>

American Funds College 2024 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2024 Fund.txt'},3.0
0000051931-18-000151,American Funds College 2027 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2027 Fund <head_breaker>

American Funds College 2027 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2027 Fund.txt'},3.0
0000051931-18-000151,American Funds College 2030 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2030 Fund <head_breaker>

American Funds College 2030 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2030 Fund.txt'},3.0
0000051931-18-000151,American Funds College 2033 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2033 Fund <head_breaker>

American Funds College 2033 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2033 Fund.txt'},3.0
0000051931-18-000151,American Funds College 2036 Fund,,3,Yes,Investment grade securities,Diversified,"3,0.95","American Funds College 2036 Fund <head_breaker>

American Funds College 2036 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College 2036 Fund.txt'},3.0
0000051931-18-000151,American Funds College Enrollment Fund,,2,Yes,Investment grade securities,Diversified,"2,0.9","American Funds College Enrollment Fund <head_breaker>

American Funds College Enrollment Fund

Investment objective The fund’s investment objective is to provide current income, consistent with preservation of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may qualify for a Class 529-A sales charge discount if you and your family invest, or agree to invest in the future, at least $500,000 in American Funds. More information about these and other discounts is available from your financial professional, in the “Sales charge reductions and waivers” sections on page 67 of the prospectus and on page 80 of the fund’s statement of additional information, and in the sales charge waiver appendix to this prospectus.",{'source': 'NLP_app\\MutualFundSummary\\American Funds College Enrollment Fund.txt'},2.0
0000051931-18-000426,American Funds U.S. Government Money Market Fund,,2,No,Investment grade securities,Diversified,"2,0.95","Indexes	1 year	5 years	Lifetime (from Class A inception) USTREAS T-Bill Auction Ave 3 Mon (reflects no deductions for sales charges, account fees, expenses or U.S. federal income taxes)	0.97%	0.29%	0.21% Lipper U.S. Government Money Market Funds Average (reflects no deductions for sales charges, account fees or U.S. federal income taxes)	0.32	0.07	0.05 For current 7-day yield information, please call American FundsLine® at (800) 325-3590. 7     American Funds U.S. Government Money Market Fund / Prospectus

Management

Investment adviser Capital Research and Management CompanySM",{'source': 'NLP_app\\MutualFundSummary\\American Funds U.S. Government Money Market Fund.txt'},2.0
0000051931-18-000465,Asset Allocation Fund,,3,No,Investment grade securities,Diversified,"3,0.9","Asset allocation — The fund’s percentage allocation to equity securities, debt securities and money market instruments could cause the fund to underperform relative to relevant benchmarks and other funds with similar investment objectives.

Management — The investment adviser to the fund actively manages the fund’s investments. Consequently, the fund is subject to the risk that the methods and analyses employed by the investment adviser in this process may not produce the desired results. This could cause the fund to lose value or its investment results to lag relevant benchmarks or other funds with similar objectives.

Your investment in the fund is not a bank deposit and is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other governmental agency, entity or person. You should consider how this fund fits into your overall investment program.",{'source': 'NLP_app\\MutualFundSummary\\Asset Allocation Fund.txt'},3.0
