id,fund_name,Performance fee?,Investment Strategy,Leverage?,Portfolio composition, Concentration,Prediction,supporting evidence,source meta data,Predicted Investment Strategy
0000051931-18-000465,Global Growth and Income Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.95","Global Growth and Income Fund <head_breaker>

Global Growth and Income Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.59% Other expenses	0.04 Total annual fund operating expenses	0.63 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Global Growth and Income Fund.txt'},3.0
0000051931-18-000465,International Growth and Income Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.95","International Growth and Income Fund <head_breaker>

International Growth and Income Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.61% Other expenses	0.04 Total annual fund operating expenses	0.65 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\International Growth and Income Fund.txt'},3.0
0000051931-18-000465,Managed Risk Blue Chip Income and Growth Fund,,1,Yes,Investment grade securities,Diversified,"3,0.9","Managed Risk Blue Chip Income and Growth Fund <head_breaker>

Managed Risk Blue Chip Income and Growth Fund

Investment objectives The fund’s investment objectives are to produce income exceeding the average yield on U.S. stocks generally and to provide an opportunity for growth of principal consistent with sound common stock investing, in each case while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Managed Risk Blue Chip Income and Growth Fund.txt'},3.0
0000051931-18-000465,New World Fund,,3,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.95","New World Fund

<head_breaker>

New World Fund

Investment objective The fund’s investment objective is long-term capital appreciation.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.70% Other expenses	0.06 Total annual fund operating expenses	0.76 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\New World Fund.txt'},1.0
0000051931-18-000465,Portfolio Series - American Funds Growth and Income Portfolio,,1,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.9","Portfolio Series - American Funds Growth and Income Portfolio <head_breaker>

American Funds Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1, Class 1A or Class 2 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1	Class 1A	Class 2 Management fees	None	None	None Distribution fees	None	None	0.25% Other expenses*	0.03%	0.28%	0.03 Acquired (underlying) fund fees and expenses	0.44	0.44	0.44 Total annual fund operating expenses	0.47	0.72	0.72 * Based on estimated amounts for the current fiscal year.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Growth and Income Portfolio.txt'},3.0
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Growth and Income Portfolio,,1,Yes,Sub-investment grade securities or emerging markets,Diversified,"3,0.9","Portfolio Series - American Funds Managed Risk Growth and Income Portfolio <head_breaker>

American Funds Managed Risk Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital and current income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Managed Risk Growth and Income Portfolio.txt'},3.0
0000932471-18-008471,Vanguard Russell 1000 Growth Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 1000 Growth Index Fund <head_breaker>

Vanguard Russell 1000 Growth Index Fund

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of large-capitalization growth stocks in the United States.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.07% 12b-1 Distribution Fee	None Other Expenses	0.01% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 1000 Growth Index Fund.txt'},1.0
0000932471-18-008471,Vanguard Russell 1000 Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 1000 Index Fund <head_breaker>

Vanguard Russell 1000 Index Fund

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of large-capitalization stocks in the United States.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.07% 12b-1 Distribution Fee	None Other Expenses	0.01% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 1000 Index Fund.txt'},1.0
0000932471-18-008471,Vanguard Russell 1000 Value Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 1000 Value Index Fund <head_breaker>

Vanguard Russell 1000 Value Index Fund

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of large-capitalization value stocks in the United States.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.07% 12b-1 Distribution Fee	None Other Expenses	0.01% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 1000 Value Index Fund.txt'},1.0
0000932471-18-008471,Vanguard Russell 2000 Growth Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 2000 Growth Index Fund <head_breaker>

Vanguard Russell 2000 Growth Index Fund

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of small-capitalization growth stocks in the United States.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.06% 12b-1 Distribution Fee	None Other Expenses	0.02% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 2000 Growth Index Fund.txt'},1.0
